time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables
no,100,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,10649.235654354095,32.71663069725037,77611,5938
no,100,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,10649.235654354095,27.054759740829468,77611,5938
no,100,97.9358620689655,11.444827586206902,355.45,8.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,10649.235654354095,41.15358352661133,77611,5938
no,100,97.9358620689655,11.444827586206902,351.65,8.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,10649.235654354095,47.45968151092529,77611,5938
no,100,97.9358620689655,11.444827586206902,360.695,8.0,266.50625,273.89533615830493,315.028125,164.5875588295919,10649.235654354095,46.17449569702149,77611,5938
no,150,149.60631578947368,39.126315789473686,344.06999999999994,24.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,10649.235654354095,42.317060470581055,77611,5938
no,150,149.60631578947368,39.126315789473686,340.36,24.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,10649.235654354095,43.799479484558105,77611,5938
no,150,149.60631578947368,39.126315789473686,349.48,24.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,10649.235654354095,46.72604990005493,77611,5938
no,150,149.60631578947368,39.126315789473686,355.74999999999994,24.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,10649.235654354095,43.10963582992554,77611,5938
no,150,149.60631578947368,39.126315789473686,352.32999999999987,24.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,10649.235654354095,45.900837898254395,77611,5938
no,150,149.60631578947368,39.126315789473686,361.485,24.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,10649.235654354095,46.93543076515198,77611,5938
no,150,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,10649.235654354095,30.63067150115967,77611,5938
no,150,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,10649.235654354095,28.5499484539032,77611,5938
no,150,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,10649.235654354095,27.03531098365784,77611,5938
no,150,149.60631578947368,39.126315789473686,351.86999999999995,24.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,10649.235654354095,41.803053379058845,77611,5938
no,150,149.60631578947368,39.126315789473686,348.05999999999995,24.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,10649.235654354095,42.74485731124878,77611,5938
no,150,149.60631578947368,39.126315789473686,357.39999999999986,24.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,10649.235654354095,43.4325909614563,77611,5938
no,150,149.60631578947368,39.126315789473686,344.06999999999994,24.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,10649.235654354095,41.98027801513672,77611,5938
no,150,149.60631578947368,39.126315789473686,340.36,24.0,262.9375,271.0063053732945,310.34270833333335,159.99631033818122,10649.235654354095,49.17509126663208,77611,5938
no,150,149.60631578947368,39.126315789473686,349.48,24.0,264.08125,271.40611494911246,312.16041666666666,163.08534414479553,10649.235654354095,49.06662464141846,77611,5938
no,150,149.60631578947368,39.126315789473686,359.66,24.0,275.33229166666666,284.3675363470338,322.684375,172.8620923887769,10649.235654354095,43.3089497089386,77611,5938
no,150,149.606315789474,39.12631578947382,356.17,23.999999999999996,272.58020833333336,280.9469636410461,321.73125,165.86233832138478,10649.235654354095,39.25449228286743,77611,5938
no,150,145.20607594936712,39.73037974683544,356.69,22.0,273.778125,281.3682189332176,323.6166666666666,169.0708718917077,10649.235654354095,38.06829309463501,77611,5938
no,150,149.60631578947368,39.126315789473686,347.20999999999987,23.999999999999996,267.4791666666667,276.2596306453506,313.48229166666664,167.93730228545098,10649.235654354095,44.346506118774414,77611,5938
no,150,149.60631578947368,39.126315789473686,343.43999999999994,24.0,264.81458333333336,272.93997736802817,312.5572916666667,161.1360758701527,10649.235654354095,49.165467500686646,77611,5938
no,150,149.60631578947368,39.126315789473686,352.67,23.999999999999996,265.96875,273.34187968568625,314.38958333333335,164.25286367313782,10649.235654354095,43.47740364074707,77611,5938
no,150,149.60631578947368,39.126315789473686,359.66,24.0,276.13958333333335,285.20777969723474,323.63125,173.37781439226154,10649.235654354095,42.00427031517029,77611,5938
no,150,149.60631578947368,39.126315789473686,356.17,24.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,10649.235654354095,45.00351858139038,77611,5938
no,150,149.60631578947368,39.126315789473686,365.53,24.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,10649.235654354095,46.52569580078125,77611,5938
no,150,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,10649.235654354095,26.56878066062927,77611,5938
no,150,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,10649.235654354095,28.09967994689941,77611,5938
no,150,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,10649.235654354095,28.089301586151123,77611,5938
no,150,149.60631578947368,39.126315789473686,347.98,23.999999999999996,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,10649.235654354095,47.726767301559455,77611,5938
no,150,149.60631578947368,39.126315789473686,344.18999999999994,24.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,10649.235654354095,43.26365900039673,77611,5938
no,150,145.85399999999996,42.80933333333333,353.07999999999987,23.0,266.50625,273.89533615830493,315.028125,164.5875588295919,10649.235654354095,40.62989282608032,77611,5938
no,200,196.8401351351352,89.43108108108109,314.56999999999994,43.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,10649.235654354095,43.94052863121033,77611,5938
no,200,196.8401351351352,89.43108108108109,310.85,43.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,10649.235654354095,45.746888399124146,77611,5938
no,200,196.8401351351352,89.43108108108109,319.97,43.00000000000002,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,10649.235654354095,43.4420952796936,77611,5938
no,200,196.8401351351352,89.43108108108109,326.2399999999999,43.00000000000002,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,10649.235654354095,42.647694826126106,77611,5938
no,200,196.8401351351352,89.43108108108109,322.42,43.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,10649.235654354095,40.47039532661439,77611,5938
no,200,196.8401351351352,89.43108108108109,332.61999999999995,43.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,10649.235654354095,39.82519292831421,77611,5938
no,200,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,10649.235654354095,28.38575768470764,77611,5938
no,200,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,10649.235654354095,30.821006298065186,77611,5938
