time_less_than,mem_less_than,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time
no,100,97.9358620689655,11.444827586206902,366.38376811594213,8.0,273.38645833333334,281.78005925861737,322.67291666666665,166.35985435643136,19.91503190994263,0.7319450378417969
no,100,97.9358620689655,11.444827586206902,373.28545454545446,8.0,274.57708333333335,282.19602874862187,324.5729166666667,169.57505742244757,19.91503190994263,0.7511484622955322
no,100,no_sol,no_sol,no_sol,no_sol,249.06770833333331,257.24515969482286,291.90416666666664,156.3760224564673,19.91503190994263,0.4354074001312256
no,100,no_sol,no_sol,no_sol,no_sol,246.58541666666667,254.15219725719413,291.04375,150.04309506806425,19.91503190994263,0.4344067573547363
no,100,no_sol,no_sol,no_sol,no_sol,247.6604166666667,254.5271070531121,292.75,152.9459034266691,19.91503190994263,0.4567956924438477
no,100,97.9358620689655,11.444827586206902,357.2053125,8.0,268.021875,276.81694997293374,314.1177083333333,168.2783990363833,19.91503190994263,0.7946338653564453
no,100,97.9358620689655,11.444827586206902,349.7814285714286,8.0,265.3489583333333,273.4901426448766,313.184375,161.46353582680118,19.91503190994263,0.7910637855529785
no,100,97.9358620689655,11.444827586206902,360.19705882352935,8.0,266.50625,273.89533615830493,315.028125,164.5875588295919,19.91503190994263,0.7364830970764159
no,150,149.60631578947368,39.126315789473686,343.76625,24.0,265.31458333333336,274.0186280845271,310.93958333333336,166.5787792101975,19.91503190994263,0.8120341300964355
no,150,149.60631578947368,39.126315789473686,340.2142857142857,24.0,262.66770833333334,270.722787757911,310.02500029479165,159.83073876147768,19.91503190994263,0.848921537399292
no,150,149.60631578947368,39.126315789473686,347.6965217391304,24.0,263.81875,271.12750010853597,311.83958333333334,162.92226832601204,19.91503190994263,0.8002023696899414
no,150,149.60631578947368,39.126315789473686,355.27153846153846,24.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155423,19.91503190994263,0.7679855823516846
no,150,149.60631578947368,39.126315789473686,351.4676470588236,24.0,270.70520833333336,279.0127044485727,319.5135416666667,164.72705683682707,19.91503190994263,0.7335491180419922
no,150,149.60631578947368,39.126315789473686,364.5869090909091,24.0,271.88958333333335,279.4281923556743,321.3843750000001,167.9097663975884,19.91503190994263,0.7114474773406982
no,150,no_sol,no_sol,no_sol,no_sol,295.090625,304.77359222261384,345.84166666666664,185.27619791513663,19.91503190994263,0.4505081176757813
no,150,no_sol,no_sol,no_sol,no_sol,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,19.91503190994263,0.4358103275299072
no,150,no_sol,no_sol,no_sol,no_sol,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,19.91503190994263,0.4535932540893554
