InstanceID,improvement,y_sol(keuro)_baseline,y_memAvg(MB)_baseline,y_time(sec)_baseline,y_sol(keuro),y_memAvg(MB),y_time(sec),alg,conf
21.0,0.05,422.55,60.31,1.41,379.75,60.11749999999995,1.9087499999999409,A,1.0
21.0,0.07,422.55,60.31,1.41,379.75,60.11749999999995,1.9087499999999409,A,1.0
21.0,0.1,422.55,60.31,1.41,371.03,65.97842105263146,3.0894736842104753,A,2.0
22.0,0.02,417.06,60.29,2.18,375.85,60.11749999999995,1.9087499999999409,A,1.0
22.0,0.05,417.06,60.29,2.18,375.85,60.11749999999995,1.9087499999999409,A,1.0
22.0,0.07,417.06,60.29,2.18,375.85,60.11749999999995,1.9087499999999409,A,1.0
22.0,0.1,417.06,60.29,2.18,367.13,65.9784210526316,3.0894736842104753,A,2.0
22.0,0.12,417.06,60.29,2.18,364.07,78.08094594594596,5.554054054054006,A,4.0
22.0,0.15,417.06,60.29,2.18,342.995,83.60563218390806,10.018850574712644,C,8.0
22.0,0.17,417.06,60.29,2.18,338.07,84.26976744186044,13.67709302325581,C,14.0
22.0,0.2,417.06,60.29,2.18,311.16,88.3555681818182,59.470681818181816,C,90.0
22.0,0.22,417.06,60.29,2.18,311.16,88.3555681818182,59.4706818181818,C,90.0
23.0,0.02,427.25,60.22,2.43,385.41000000000025,60.117500000000035,1.9087499999999409,A,1.0
23.0,0.05,427.25,60.22,2.43,385.41,60.11749999999995,1.9087499999999409,A,1.0
23.0,0.07,427.25,60.22,2.43,385.41,60.117500000000035,1.9087499999999409,A,1.0
23.0,0.1,427.25,60.22,2.43,375.7,65.97842105263152,3.0894736842104753,A,2.0
23.0,0.12,427.25,60.22,2.43,374.28,78.08094594594587,5.554054054054006,A,4.0
23.0,0.15,427.25,60.22,2.43,337.81,82.93710526315787,6.398684210526298,C,2.0
23.0,0.17,427.25,60.22,2.43,337.81,82.93710526315792,6.398684210526298,C,2.0
23.0,0.2,427.25,60.22,2.43,323.76,83.95182926829261,11.849756097560974,C,11.0
23.0,0.22,427.25,60.22,2.43,323.76,83.95182926829261,11.849756097560954,C,11.0
27.0,0.02,410.12,60.24,1.59,368.07,60.11750000000001,1.9087499999999409,A,1.0
27.0,0.05,410.12,60.24,1.59,368.07,60.11750000000001,1.9087499999999409,A,1.0
27.0,0.07,410.12,60.24,1.59,368.07,60.11749999999995,1.9087499999999409,A,1.0
27.0,0.1,410.12,60.24,1.59,368.07,60.11749999999995,1.9087499999999409,A,1.0
27.0,0.12,410.12,60.24,1.59,359.36,65.97842105263156,3.0894736842105264,A,2.0
27.0,0.15,410.12,60.24,1.59,339.84,83.71837499999997,10.650250000000002,C,9.0
27.0,0.17,410.12,60.24,1.59,329.84,167.45743589743591,54.929487179487154,A,31.0
27.0,0.2,410.12,60.24,1.59,312.67,88.3555681818182,59.4706818181818,C,90.0
27.0,0.22,410.12,60.24,1.59,312.67,88.3555681818182,59.470681818181816,C,90.0
28.0,0.02,404.78,60.26,1.47,364.28,60.11749999999995,1.9087499999999409,A,1.0
28.0,0.05,404.78,60.26,1.47,364.28,60.117500000000035,1.9087499999999409,A,1.0
28.0,0.07,404.78,60.26,1.47,364.28000000000014,60.11749999999995,1.9087499999999409,A,1.0
28.0,0.1,404.78,60.26,1.47,355.56,65.9784210526316,3.0894736842104753,A,2.0
28.0,0.12,404.78,60.26,1.47,354.56,72.07368421052631,4.32105263157888,A,3.0
28.0,0.15,404.78,60.26,1.47,315.49,84.1716666666667,13.078076923076924,C,13.0
28.0,0.17,404.78,60.26,1.47,315.49,84.17166666666672,13.078076923076908,C,13.0
28.0,0.2,404.78,60.26,1.47,315.49,84.1716666666667,13.078076923076921,C,13.0
29.0,0.02,414.66,60.18,1.7,373.5600000000002,60.117500000000035,1.9087499999999409,A,1.0
29.0,0.05,414.66,60.18,1.7,373.5600000000002,60.117500000000035,1.9087499999999409,A,1.0
29.0,0.07,414.66,60.18,1.7,373.56,60.117500000000035,1.9087499999999409,A,1.0
29.0,0.1,414.66,60.18,1.7,364.85,65.9784210526316,3.0894736842104753,A,2.0
29.0,0.12,414.66,60.18,1.7,362.43,78.08094594594596,5.5540540540540055,A,4.0
29.0,0.15,414.66,60.18,1.7,346.38333333333327,83.95182926829261,11.849756097560974,C,11.0
29.0,0.17,414.66,60.18,1.7,306.21352941176474,84.1716666666667,13.078076923076924,C,13.0
29.0,0.2,414.66,60.18,1.7,306.21352941176474,84.17166666666672,13.078076923076908,C,13.0
29.0,0.22,414.66,60.18,1.7,306.21352941176474,84.1716666666667,13.078076923076924,C,13.0
