instance,improvement,sol(keuro),cplex_time,status,y_memAvg(MB),y_time(sec),y_sol(keuro),y_nTraces,y_memAvg(MB) %,y_time(sec) %,,PV_mean,PV_std,Load_mean,Load_std,baseline_memAvg(MB)no,baseline_time(sec)no,,baseline_memAvg(MB),baseline_time(sec)
14,0.10,376.52,3.7663,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,,,,,,,,50.88,1.28
14,0.12,368.15,3.8961,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,,,,,,,,50.88,1.28
14,0.15,355.60,3.9873,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,,,,,,,,50.88,1.28
14,0.17,347.23,3.9496,integer optimal solution,88.92,9.51,339.49,1,0.5722,0.1346,,,,,,,,,50.88,1.28
14,0.20,334.68,3.9235,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.22,326.31,3.9815,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.25,313.76,3.9689,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.27,305.40,3.9962,integer optimal solution,396.82,18.39,296.89,3,0.1282,0.0696,,,,,,,,,50.88,1.28
14,0.30,292.85,3.9052,integer optimal solution,1100.16,76.83,289.44,9,0.0462,0.0167,,,,,,,,,50.88,1.28
14,0.32,284.48,3.8745,integer optimal solution,1622.77,136.32,283.67,13,0.0314,0.0094,,,,,,,,,50.88,1.28
14,0.35,271.93,3.8981,No solution,,,,,,,,,,,,,,,50.88,1.28
15,0.02,402.04,3.9179,integer optimal solution,1532.98,120.01,396.38,12,0.0332,0.0111,,277.5520833,282.6008312,332.371875,176.7142053,50.89,1.33,,50.89,1.33
15,0.05,389.73,3.8135,integer optimal solution,2524.71,303.35,380.61,21,0.0202,0.0044,,,,,,,,,50.89,1.33
15,0.07,381.52,3.8087,integer optimal solution,2524.71,303.35,380.61,21,0.0202,0.0044,,,,,,,,,50.89,1.33
15,0.10,369.22,3.8085,integer optimal solution,3958.81,601.21,341.69,31,0.0129,0.0022,,,,,,,,,50.89,1.33
15,0.12,361.01,3.8392,integer optimal solution,3958.81,601.21,341.69,31,0.0129,0.0022,,,,,,,,,50.89,1.33
15,0.15,348.70,3.8744,integer optimal solution,3958.81,601.21,341.69,31,0.0129,0.0022,,,,,,,,,50.89,1.33
15,0.17,340.50,4.0962,No solution,,,,,,,,,,,,,,,50.89,1.33
16,0.02,398.61,3.8255,integer optimal solution,4306.25,709.34,387.27,34,0.0118,0.0018,,274.896875,280.7945985,330.290625,172.6542354,50.89,1.26,,50.89,1.26
16,0.05,386.40,3.8341,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0015,,,,,,,,,50.89,1.26
16,0.07,378.27,3.7884,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0015,,,,,,,,,50.89,1.26
16,0.10,366.07,3.9347,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0015,,,,,,,,,50.89,1.26
16,0.12,357.93,3.9340,integer optimal solution,4043.35,871.42,337.78,38,0.0126,0.0014,,,,,,,,,50.89,1.26
16,0.15,345.73,3.9218,integer optimal solution,4043.35,871.42,337.78,38,0.0126,0.0014,,,,,,,,,50.89,1.26
16,0.17,337.59,3.8320,No solution,,,,,,,,,,,,,,,50.89,1.26
17,0.02,411.83,3.7455,integer optimal solution,824.74,42.58,411.79,6,0.0617,0.0303,,276.6604167,283.7381497,333.896875,174.7511918,50.91,1.29,,50.91,1.29
17,0.05,399.22,3.7319,integer optimal solution,3958.81,601.21,377.96,31,0.0129,0.0021,,,,,,,,,50.91,1.29
17,0.07,390.81,3.8556,integer optimal solution,3958.81,601.21,377.96,31,0.0129,0.0021,,,,,,,,,50.91,1.29
17,0.10,378.21,3.6818,integer optimal solution,3958.81,601.21,377.96,31,0.0129,0.0021,,,,,,,,,50.91,1.29
17,0.12,369.80,3.7241,No solution,,,,,,,,,,,,,,,50.91,1.29
18,0.02,401.12,3.8843,integer optimal solution,1532.98,120.01,396.38,12,0.0333,0.0105,,277.984375,282.5523389,332.221875,175.2873065,51.07,1.26,,51.07,1.26
18,0.05,388.84,3.8081,integer optimal solution,2524.71,303.35,380.61,21,0.0202,0.0042,,,,,,,,,51.07,1.26
18,0.07,380.66,3.7970,integer optimal solution,2524.71,303.35,380.61,21,0.0202,0.0042,,,,,,,,,51.07,1.26
18,0.10,368.38,3.7869,integer optimal solution,3958.81,601.21,341.69,31,0.0129,0.0021,,,,,,,,,51.07,1.26
18,0.12,360.19,3.8295,integer optimal solution,3958.81,601.21,341.69,31,0.0129,0.0021,,,,,,,,,51.07,1.26
18,0.15,347.91,3.7551,integer optimal solution,3958.81,601.21,341.69,31,0.0129,0.0021,,,,,,,,,51.07,1.26
18,0.17,339.73,3.8110,No solution,,,,,,,,,,,,,,,51.07,1.26
19,0.02,417.05,3.8723,integer optimal solution,4102.81,636.27,414.40,32,0.0125,0.0017,,274.9864583,280.0105272,334.296875,175.3141611,51.13,1.09,,51.13,1.09
19,0.05,404.28,3.8294,integer optimal solution,4306.25,709.34,387.27,34,0.0119,0.0015,,,,,,,,,51.13,1.09
19,0.07,395.77,3.8696,integer optimal solution,4306.25,709.34,387.27,34,0.0119,0.0015,,,,,,,,,51.13,1.09
19,0.10,383.00,3.8412,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0013,,,,,,,,,51.13,1.09
19,0.12,374.49,3.8343,integer optimal solution,3897.04,830.83,362.94,37,0.0131,0.0013,,,,,,,,,51.13,1.09
19,0.15,361.73,3.9778,integer optimal solution,4043.35,871.42,337.78,38,0.0126,0.0013,,,,,,,,,51.13,1.09
19,0.17,353.21,3.9766,integer optimal solution,4043.35,871.42,337.78,38,0.0126,0.0013,,,,,,,,,51.13,1.09
19,0.20,340.45,3.9396,integer optimal solution,4043.35,871.42,337.78,38,0.0126,0.0013,,,,,,,,,51.13,1.09
19,0.22,331.94,3.8724,No solution,,,,,,,,,,,,,,,51.13,1.09
20,0.02,409.64,3.8987,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,274.8635417,278.6284085,332.4510417,171.6066851,51.17,1.27,,51.17,1.27
20,0.05,397.10,3.8097,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,,,,,,,,51.17,1.27
20,0.07,388.74,3.8521,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,,,,,,,,51.17,1.27
20,0.10,376.20,3.8169,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,,,,,,,,51.17,1.27
20,0.12,367.84,3.9773,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,,,,,,,,51.17,1.27
20,0.15,355.30,4.0663,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,,,,,,,,51.17,1.27
20,0.17,346.94,4.0206,integer optimal solution,88.92,9.51,339.49,1,0.5755,0.1335,,,,,,,,,51.17,1.27
20,0.20,334.40,4.0630,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.22,326.04,3.9229,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.25,313.50,3.9137,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.27,305.14,3.8773,integer optimal solution,396.82,18.39,296.89,3,0.1290,0.0690,,,,,,,,,51.17,1.27
20,0.30,292.60,3.9419,integer optimal solution,1100.16,76.83,289.44,9,0.0465,0.0165,,,,,,,,,51.17,1.27
20,0.32,284.24,3.9178,integer optimal solution,1622.77,136.32,283.67,13,0.0315,0.0093,,,,,,,,,51.17,1.27
20,0.35,271.70,3.8783,No solution,,,,,,,,,,,,,,,51.17,1.27
21,0.02,396.18,3.8671,integer optimal solution,396.82,18.39,395.95,3,0.1290,0.0723,,279.5447917,282.2747486,333.5604167,175.3851865,51.18,1.33,,51.18,1.33
21,0.05,384.06,3.8419,integer optimal solution,4102.81,636.27,371.66,32,0.0125,0.0021,,,,,,,,,51.18,1.33
21,0.07,375.97,3.9508,integer optimal solution,4102.81,636.27,371.66,32,0.0125,0.0021,,,,,,,,,51.18,1.33
21,0.10,363.84,3.9440,integer optimal solution,3897.04,830.83,324.98,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.12,355.76,3.9251,integer optimal solution,3897.04,830.83,324.98,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.15,343.63,4.0464,integer optimal solution,3897.04,830.83,324.98,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.17,335.54,3.9516,integer optimal solution,3897.04,830.83,324.98,37,0.0131,0.0016,,,,,,,,,51.18,1.33
21,0.20,323.42,3.8558,No solution,,,,,,,,,,,,,,,51.18,1.33
22,0.02,386.26,4.4537,integer optimal solution,824.74,42.58,385.06,6,0.0604,0.0319,,269.3635417,278.4549792,320.578125,173.259668,49.85,1.36,,49.85,1.36
22,0.05,374.43,4.4071,integer optimal solution,4246.90,672.11,370.07,33,0.0117,0.0020,,,,,,,,,49.85,1.36
22,0.07,366.55,4.3710,integer optimal solution,3897.04,830.83,351.62,37,0.0128,0.0016,,,,,,,,,49.85,1.36
22,0.10,354.73,4.3668,integer optimal solution,3897.04,830.83,351.62,37,0.0128,0.0016,,,,,,,,,49.85,1.36
22,0.12,346.84,4.3922,integer optimal solution,4043.35,871.42,345.07,38,0.0123,0.0016,,,,,,,,,49.85,1.36
22,0.15,335.02,4.2786,No solution,,,,,,,,,,,,,,,49.85,1.36
23,0.02,388.43,4.4977,integer optimal solution,396.82,18.39,357.14,3,0.1257,0.0685,,269.3322917,277.5728041,320.0552083,176.0803485,49.89,1.26,,49.89,1.26
23,0.05,376.54,4.5513,integer optimal solution,396.82,18.39,357.14,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.07,368.61,4.4594,integer optimal solution,396.82,18.39,357.14,3,0.1257,0.0685,,,,,,,,,49.89,1.26
23,0.10,356.72,4.4116,integer optimal solution,3958.81,601.21,336.20,31,0.0126,0.0021,,,,,,,,,49.89,1.26
23,0.12,348.80,4.3849,integer optimal solution,3958.81,601.21,336.20,31,0.0126,0.0021,,,,,,,,,49.89,1.26
23,0.15,336.91,4.3712,integer optimal solution,3958.81,601.21,336.20,31,0.0126,0.0021,,,,,,,,,49.89,1.26
23,0.17,328.98,4.3228,No solution,,,,,,,,,,,,,,,49.89,1.26
24,0.02,397.12,4.2654,integer optimal solution,1388.64,104.45,386.55,11,0.0359,0.0130,,270.6479167,279.7283895,324.6833333,175.6760149,49.91,1.36,,49.91,1.36
24,0.05,384.96,4.1822,integer optimal solution,3801.91,788.73,372.31,36,0.0131,0.0017,,,,,,,,,49.91,1.36
24,0.07,376.85,4.2008,integer optimal solution,3801.91,788.73,372.31,36,0.0131,0.0017,,,,,,,,,49.91,1.36
24,0.10,364.70,4.1956,integer optimal solution,4043.35,871.42,363.69,38,0.0123,0.0016,,,,,,,,,49.91,1.36
24,0.12,356.59,4.1095,integer optimal solution,6849.40,2936.65,345.12,72,0.0073,0.0005,,,,,,,,,49.91,1.36
24,0.15,344.44,3.9529,No solution,,,,,,,,,,,,,,,49.91,1.36
25,0.02,402.70,3.2607,No solution,,,,,,,,269.5833333,278.5010969,324.11875,177.2716826,49.92,1.33,,49.92,1.33
26,0.02,394.48,3.1534,No solution,,,,,,,,270.1166667,279.349982,322.83125,177.4769864,49.94,1.39,,49.94,1.39
