time_less_than,b_ANTICIPATE,b_CONTINGENCY,y_ANTICIPATE_memAvg(MB),y_ANTICIPATE_time(sec),y_ANTICIPATE_sol(keuro),y_CONTINGENCY_memAvg(MB),y_CONTINGENCY_time(sec),y_CONTINGENCY_sol(keuro),y_nTraces,y_nScenarios,y_PV_mean,y_PV_std,y_Load_mean,y_Load_std,embedding_time,solve_time,#constraints,#variables,ANTICIPATE_n_cores,CONTINGENCY_n_cores,y_ANTICIPATE_par_time,y_CONTINGENCY_par_time
2,0,1.0,60.11750000000001,1.9087499999999409,375.96818181818185,83.16175675675676,7.583378378378379,397.8013043478261,4.0,1.0,273.4322916666667,282.4094580181082,320.453125,171.67819396155426,28422.463067770004,1.2556252479553225,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,372.385,83.16175675675676,7.583378378378379,331.6748484848485,4.0,1.0,270.70520833333336,279.0127044485727,319.5135416666667,164.7270568368271,28422.463067770004,1.1931326389312744,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,383.36,83.16175675675676,7.583378378378379,348.9169411764707,4.0,1.0,271.8895833333333,279.4281923556743,321.38437500000003,167.9097663975884,28422.463067770004,1.207228422164917,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,no_sol,295.090625,304.7735922226138,345.84166666666664,185.27619791513663,28422.463067770004,0.4256253242492676,16417,1814,no_sol,no_sol,no_sol,no_sol
2,0,1.0,60.11750000000001,1.9087499999999409,413.0,82.84300000000007,5.748874999999984,595.0,1.0,1.0,292.15208333333334,301.1131694712024,344.81875,177.77185244981138,28422.463067770004,1.5173485279083252,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,413.0,82.84300000000007,5.748874999999984,595.0,1.0,1.0,293.4239583333333,301.55676246520864,346.8447916666667,181.2081054281879,28422.463067770004,1.2012741565704346,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,371.95,82.84300000000007,5.748874999999984,373.5427118644069,1.0,1.0,270.7270833333334,279.61320288002565,317.28541666666666,169.9782939446281,28422.463067770004,1.195507526397705,16417,1814,1.0,16.0,1.9087499999999409,1.854475806451608
2,0,1.0,60.11750000000001,1.9087499999999409,368.15,83.16175675675676,7.583378378378379,331.6748484848485,4.0,1.0,268.02708333333334,276.25142249979405,316.3489583333333,163.09529358807873,28422.463067770004,1.1861724853515625,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,375.96818181818185,83.16175675675676,7.583378378378379,331.6748484848485,4.0,1.0,269.1979166666667,276.6617632519169,318.20625,166.24866027812325,28422.463067770004,1.192268133163452,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
2,0,1.0,60.11750000000001,1.9087499999999409,364.16,83.16175675675676,7.583378378378379,334.5249999999999,4.0,1.0,265.5833333333333,274.3005588715091,311.2572916666667,166.7453052467493,28422.463067770004,1.191883563995361,16417,1814,1.0,32.0,1.9087499999999409,1.9544789634995825
